Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
368,Ray McCallum\mccalra01,2015-16,24,TOT,NBA,0.3,41,6,475,55,146,40,104,15,42,12,15,8,39,47,60,12,7,24,29,137,.377,.385,.357,.428,.800,.449
369,Chris McCullough\mcculch01,2015-16,20,BRK,NBA,0.3,24,4,362,44,109,31,75,13,34,11,23,25,43,68,9,28,12,15,39,112,.404,.413,.382,.463,.478,.470
370,Ben McLemore\mclembe01,2015-16,22,SAC,NBA,0.3,68,53,1443,195,455,128,270,67,185,74,103,34,114,148,79,52,10,99,140,531,.429,.474,.362,.502,.718,.531
371,Mike Miller\millemi01,2015-16,35,DEN,NBA,0.3,47,2,373,22,62,3,10,19,52,0,0,6,47,53,40,13,4,17,53,63,.355,.300,.365,.508,,.508
372,Donatas Motiejunas\motiedo01,2015-16,25,HOU,NBA,0.3,37,22,547,90,205,74,148,16,57,34,53,37,72,109,41,17,5,44,69,230,.439,.500,.281,.478,.642,.504
373,Johnny O'Bryant\obryajo01,2015-16,22,MIL,NBA,0.3,66,4,857,86,209,85,208,1,1,27,40,65,111,176,32,18,8,31,100,200,.411,.409,1.000,.414,.675,.441
374,Robert Sacre\sacrero01,2015-16,26,LAL,NBA,0.3,25,1,320,31,75,31,75,0,0,25,38,32,40,72,14,4,10,12,43,87,.413,.413,,.413,.658,.474
375,Axel Toupane\toupaax01,2015-16,23,DEN,NBA,0.3,21,0,305,25,70,12,30,13,40,13,17,8,23,31,15,7,6,6,40,76,.357,.400,.325,.450,.765,.490
376,C.J. Wilcox\wilcocj01,2015-16,25,LAC,NBA,0.3,23,0,167,26,66,17,43,9,23,9,12,1,11,12,10,10,2,2,15,70,.394,.395,.391,.462,.750,.491
377,Christian Wood\woodch01,2015-16,20,PHI,NBA,0.3,17,0,145,22,53,18,42,4,11,13,21,13,25,38,3,5,7,2,11,61,.415,.429,.364,.453,.619,.490
378,Jeff Ayres\pendeje02,2015-16,28,LAC,NBA,0.2,17,0,107,12,23,12,22,0,1,6,6,4,18,22,5,0,3,6,18,30,.522,.545,.000,.522,1.000,.585
379,Andrea Bargnani\bargnan01,2015-16,30,BRK,NBA,0.2,46,0,634,127,279,124,263,3,16,47,57,28,69,97,18,4,9,26,61,304,.455,.471,.188,.461,.825,.500
