Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
397,Cory Jefferson\jeffeco01,2015-16,25,PHO,NBA,0.1,8,0,50,9,22,9,21,0,1,4,6,6,10,16,0,0,1,0,8,22,.409,.429,.000,.409,.667,.446
398,Dahntay Jones\jonesda02,2015-16,35,CLE,NBA,0.1,1,0,42,6,14,5,12,1,2,0,0,1,4,5,2,1,2,0,6,13,.429,.417,.500,.464,,.464
399,Chris Kaman\kamanch01,2015-16,33,POR,NBA,0.1,16,2,112,20,43,19,39,1,4,3,3,7,17,24,11,1,1,8,15,44,.465,.487,.250,.477,1.000,.496
400,Ryan Kelly\kellyry01,2015-16,24,LAL,NBA,0.1,36,0,470,55,149,50,112,5,37,37,54,21,100,121,20,13,10,18,39,152,.369,.446,.135,.386,.685,.440
401,Kevon Looney\looneke01,2015-16,19,GSW,NBA,0.1,5,0,21,4,7,3,5,1,2,0,0,4,6,10,0,0,0,1,2,9,.571,.600,.500,.643,,.643
402,Jodie Meeks\meeksjo01,2015-16,28,DET,NBA,0.1,3,0,43,7,20,3,11,4,9,4,4,1,4,5,3,0,0,1,2,22,.350,.273,.444,.450,1.000,.506
403,Jordan Mickey\mickejo01,2015-16,21,BOS,NBA,0.1,16,0,57,8,22,8,22,0,0,5,10,6,7,13,1,0,11,1,5,21,.364,.364,,.364,.500,.398
404,Elijah Millsap\millsel01,2015-16,28,UTA,NBA,0.1,20,0,173,11,39,10,27,1,12,13,18,6,29,35,19,7,3,9,33,36,.282,.370,.083,.295,.722,.384
405,Xavier Munford\munfoxa02,2015-16,23,MEM,NBA,0.1,14,0,244,32,77,23,54,9,23,7,14,3,28,31,22,13,3,15,25,80,.416,.426,.391,.474,.500,.481
406,Shabazz Napier\napiesh01,2015-16,24,ORL,NBA,0.1,55,0,600,68,201,34,97,34,104,33,45,9,46,55,97,23,1,46,38,203,.338,.351,.327,.423,.733,.460
407,Steve Novak\novakst01,2015-16,32,TOT,NBA,0.1,10,0,44,8,18,1,3,7,15,1,1,0,5,5,0,0,0,1,3,24,.444,.333,.467,.639,1.000,.651
408,Damjan Rudez\rudezda01,2015-16,29,MIN,NBA,0.1,33,0,277,25,62,8,12,17,50,8,8,5,15,20,11,3,1,13,33,75,.403,.667,.340,.540,1.000,.572
409,JaKarr Sampson\sampsja02,2015-16,22,TOT,NBA,0.1,73,40,1160,140,317,126,254,14,63,80,122,46,144,190,46,23,33,70,142,374,.442,.496,.222,.464,.656,.504
410,Alex Stepheson\stephal01,2015-16,28,TOT,NBA,0.1,8,0,73,9,27,9,27,0,0,4,12,19,9,28,2,1,5,0,12,22,.333,.333,,.333,.333,.341
411,Jarnell Stokes\stokeja01,2015-16,22,TOT,NBA,0.1,7,0,18,3,5,3,5,0,0,1,2,1,3,4,1,1,0,0,1,7,.600,.600,,.600,.500,.595
412,Metta World Peace\artesro01,2015-16,36,LAL,NBA,0.1,35,5,590,55,177,29,93,26,84,40,57,19,70,89,27,22,11,15,67,176,.311,.312,.310,.384,.702,.435
413,James Young\youngja01,2015-16,20,BOS,NBA,0.1,29,0,199,11,36,5,10,6,26,1,4,4,22,26,9,6,1,5,17,29,.306,.500,.231,.389,.250,.384
414,Nick Young\youngni01,2015-16,30,LAL,NBA,0.1,54,2,1033,126,372,49,135,77,237,63,76,14,83,97,34,23,7,30,50,392,.339,.363,.325,.442,.829,.483
415,Jordan Adams\adamsjo01,2015-16,21,MEM,NBA,0.0,2,0,15,2,6,2,5,0,1,3,5,0,2,2,3,3,0,2,2,7,.333,.400,.000,.333,.600,.427
416,Cliff Alexander\alexacl01,2015-16,20,POR,NBA,0.0,8,0,36,5,10,5,10,0,0,0,0,2,4,6,0,1,2,1,1,10,.500,.500,,.500,,.500
417,Thanasis Antetokounmpo\antetth01,2015-16,23,NYK,NBA,0.0,2,0,6,3,4,3,3,0,1,0,0,0,1,1,0,0,0,0,2,6,.750,1.000,.000,.750,,.750
418,Cameron Bairstow\bairsca01,2015-16,25,CHI,NBA,0.0,18,2,103,13,40,12,35,1,5,7,8,4,24,28,6,2,3,4,19,34,.325,.343,.200,.338,.875,.391
419,Rakeem Christmas\chrisra01,2015-16,24,IND,NBA,0.0,1,0,6,2,2,2,2,0,0,0,0,1,0,1,0,0,0,0,1,4,1.000,1.000,,1.000,,1.000
420,Coty Clarke\clarkco01,2015-16,23,BOS,NBA,0.0,3,0,6,2,4,0,2,2,2,0,0,0,1,1,0,0,0,1,0,6,.500,.000,1.000,.750,,.750
421,Branden Dawson\dawsobr01,2015-16,22,LAC,NBA,0.0,6,0,29,2,5,2,5,0,0,1,1,2,2,4,0,0,1,0,2,5,.400,.400,,.400,1.000,.460
422,Sam Dekker\dekkesa01,2015-16,21,HOU,NBA,0.0,3,0,6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,,,,,
423,Duje Dukan\dukandu01,2015-16,24,SAC,NBA,0.0,1,0,24,2,10,0,5,2,5,0,0,2,2,4,1,1,0,0,2,6,.200,.000,.400,.300,,.300
424,Jimmer Fredette\fredeji01,2015-16,26,TOT,NBA,0.0,6,0,18,2,5,1,3,1,2,4,5,0,0,0,1,1,0,2,2,9,.400,.333,.500,.500,.800,.625
425,Drew Gooden\goodedr01,2015-16,34,WAS,NBA,0.0,30,0,305,33,103,26,62,7,41,9,14,28,57,85,13,8,11,13,40,82,.320,.419,.171,.354,.643,.376
426,Andrew Goudelock\goudean01,2015-16,27,HOU,NBA,0.0,8,0,50,9,20,8,11,1,9,3,4,1,1,2,4,6,2,7,4,22,.450,.727,.111,.475,.750,.506
427,Justin Harper\harpeju01,2015-16,26,DET,NBA,0.0,5,0,35,4,10,0,1,4,9,1,2,0,1,1,0,1,0,2,3,13,.400,.000,.444,.600,.500,.597
428,Joe Harris\harrijo01,2015-16,24,CLE,NBA,0.0,5,0,15,1,4,0,0,1,4,0,0,0,3,3,2,0,0,1,1,3,.250,,.250,.375,,.375
429,Aaron Harrison\harriaa01,2015-16,21,CHO,NBA,0.0,21,0,93,5,19,2,9,3,10,5,12,4,11,15,2,6,0,4,10,18,.263,.222,.300,.342,.417,.371
430,Chuck Hayes\hayesch01,2015-16,32,HOU,NBA,0.0,2,0,24,1,2,1,2,0,0,2,2,0,8,8,2,0,0,3,6,4,.500,.500,,.500,1.000,.694
431,Josh Huestis\huestjo01,2015-16,24,OKC,NBA,0.0,5,0,55,5,12,1,6,4,6,0,4,2,8,10,0,1,2,3,3,14,.417,.167,.667,.583,.000,.509
432,Mitch McGary\mcgarmi01,2015-16,23,OKC,NBA,0.0,20,0,72,11,23,11,19,0,4,4,10,4,14,18,3,1,2,7,10,26,.478,.579,.000,.478,.400,.474
433,Nazr Mohammed\mohamna01,2015-16,38,OKC,NBA,0.0,5,0,19,3,5,3,5,0,0,2,2,1,3,4,0,0,0,3,4,8,.600,.600,,.600,1.000,.680
434,Eric Moreland\moreler01,2015-16,24,SAC,NBA,0.0,8,0,48,3,6,3,6,0,0,2,4,3,8,11,1,0,4,3,4,8,.500,.500,,.500,.500,.515
435,J.J. O'Brien\obriejj01,2015-16,23,UTA,NBA,0.0,2,0,6,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,.000,.000,,.000,,.000
436,Nate Robinson\robinna01,2015-16,31,NOP,NBA,0.0,2,1,23,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,5,0,.000,,.000,.000,,.000
437,D'Angelo Russell\russeda01,2015-16,19,LAL,NBA,0.0,80,48,2259,392,956,262,586,130,370,140,190,47,227,274,266,93,13,196,142,1054,.410,.447,.351,.478,.737,.507
438,Josh Smith\smithjo03,2015-16,30,TOT,NBA,0.0,55,7,880,127,349,86,206,41,143,37,67,51,141,192,90,34,47,77,118,332,.364,.417,.287,.423,.552,.439
439,Briante Weber\weberbr01,2015-16,23,TOT,NBA,0.0,7,4,169,14,39,14,34,0,5,3,4,8,17,25,21,9,3,9,12,31,.359,.412,.000,.359,.750,.380
440,Shayne Whittington\whittsh01,2015-16,24,IND,NBA,0.0,7,0,41,5,11,5,9,0,2,1,2,5,7,12,3,1,1,5,7,11,.455,.556,.000,.455,.500,.463
441,Elliot Williams\williel01,2015-16,26,MEM,NBA,0.0,5,0,45,2,10,1,6,1,4,3,4,1,3,4,4,0,0,1,2,8,.200,.167,.250,.250,.750,.340
442,Lou Amundson\amundlo01,2015-16,33,NYK,NBA,-0.1,29,0,204,19,53,19,53,0,0,14,27,23,26,49,12,6,7,15,44,52,.358,.358,,.358,.519,.401
443,Keith Appling\applike01,2015-16,23,ORL,NBA,-0.1,5,0,27,2,8,2,5,0,3,2,2,0,1,1,1,1,0,3,5,6,.250,.400,.000,.250,1.000,.338
444,DeJuan Blair\blairde01,2015-16,26,WAS,NBA,-0.1,29,0,218,28,68,28,67,0,1,5,13,20,37,57,11,8,2,15,53,61,.412,.418,.000,.412,.385,.414
445,Norris Cole\coleno01,2015-16,27,NOP,NBA,-0.1,45,23,1198,196,484,163,382,33,102,52,65,10,141,151,167,37,5,75,102,477,.405,.427,.324,.439,.800,.465
446,Chris Copeland\copelch01,2015-16,31,MIL,NBA,-0.1,24,1,156,17,51,7,15,10,36,6,7,1,9,10,11,2,0,6,17,50,.333,.467,.278,.431,.857,.462
447,Bryce Cotton\cottobr01,2015-16,23,TOT,NBA,-0.1,8,0,39,4,10,4,7,0,3,0,0,0,0,0,3,3,0,5,2,8,.400,.571,.000,.400,,.400
448,Marcelo Huertas\huertma01,2015-16,32,LAL,NBA,-0.1,53,0,869,97,230,81,169,16,61,27,29,18,72,90,182,26,7,80,76,237,.422,.479,.262,.457,.931,.488
449,Damien Inglis\inglida01,2015-16,20,MIL,NBA,-0.1,20,1,156,13,37,10,24,3,13,7,8,2,29,31,10,6,3,11,11,36,.351,.417,.231,.392,.875,.444
450,Devyn Marble\marblde01,2015-16,23,ORL,NBA,-0.1,28,0,249,21,71,13,39,8,32,10,24,6,32,38,12,13,1,7,25,60,.296,.333,.250,.352,.417,.368
451,O.J. Mayo\mayooj01,2015-16,28,MIL,NBA,-0.1,41,24,1090,119,321,67,159,52,162,31,40,13,92,105,118,48,8,72,126,321,.371,.421,.321,.452,.775,.474
452,Kostas Papanikolaou\papanko01,2015-16,25,DEN,NBA,-0.1,26,6,294,24,66,14,34,10,32,9,14,8,32,40,16,13,5,21,24,67,.364,.412,.313,.439,.643,.464
453,Nikola Pekovic\pekovni01,2015-16,30,MIN,NBA,-0.1,12,3,156,19,50,19,50,0,0,16,20,7,14,21,11,1,0,9,22,54,.380,.380,,.380,.800,.459
454,Kendrick Perkins\perkike01,2015-16,31,NOP,NBA,-0.1,37,5,542,40,75,40,75,0,0,11,25,25,103,128,31,11,11,41,64,91,.533,.533,,.533,.440,.529
455,Tibor Pleiss\pleisti01,2015-16,26,UTA,NBA,-0.1,12,0,82,11,25,11,23,0,2,2,2,6,9,15,2,1,2,8,19,24,.440,.478,.000,.440,1.000,.464
456,Phil Pressey\pressph01,2015-16,24,TOT,NBA,-0.1,23,0,283,30,78,26,60,4,18,13,25,3,28,31,75,18,4,33,28,77,.385,.433,.222,.410,.520,.433
457,Russ Smith\smithru01,2015-16,24,MEM,NBA,-0.1,15,0,66,7,22,6,17,1,5,8,13,1,8,9,11,5,1,7,5,23,.318,.353,.200,.341,.615,.415
458,Joe Young\youngjo01,2015-16,23,IND,NBA,-0.1,41,0,384,62,169,52,123,10,46,20,25,6,44,50,65,15,0,33,30,154,.367,.423,.217,.396,.800,.428
459,Lorenzo Brown\brownlo01,2015-16,25,PHO,NBA,-0.2,8,0,61,8,25,7,17,1,8,3,4,0,7,7,11,3,1,9,4,20,.320,.412,.125,.340,.750,.374
460,Pat Connaughton\connapa01,2015-16,23,POR,NBA,-0.2,34,0,143,13,49,8,28,5,21,5,5,11,21,32,10,2,0,10,6,36,.265,.286,.238,.316,1.000,.352
461,Cleanthony Early\earlycl01,2015-16,24,NYK,NBA,-0.2,17,2,154,12,40,8,25,4,15,3,4,4,22,26,6,2,3,9,16,31,.300,.320,.267,.350,.750,.371
462,Orlando Johnson\johnsor01,2015-16,26,TOT,NBA,-0.2,7,1,101,9,34,7,24,2,10,6,8,4,11,15,2,3,3,4,9,26,.265,.292,.200,.294,.750,.346
463,Luis Montero\montelu01,2015-16,22,POR,NBA,-0.2,12,0,42,5,19,4,10,1,9,3,4,0,4,4,1,0,0,4,1,14,.263,.400,.111,.289,.750,.337
464,Kevin Seraphin\serapke01,2015-16,26,NYK,NBA,-0.2,48,0,526,84,205,84,203,0,2,19,23,31,95,126,47,8,36,43,67,187,.410,.414,.000,.410,.826,.435
465,James Anderson\anderja01,2015-16,26,SAC,NBA,-0.3,51,15,721,67,178,44,92,23,86,22,29,13,73,86,41,21,14,42,54,179,.376,.478,.267,.441,.759,.469
466,Anthony Brown\brownan02,2015-16,23,LAL,NBA,-0.3,29,11,599,39,126,19,56,20,70,17,20,9,61,70,19,14,5,15,34,115,.310,.339,.286,.389,.850,.427
467,Bruno Caboclo\cabocbr01,2015-16,20,TOR,NBA,-0.3,6,1,43,1,12,0,5,1,7,0,0,1,1,2,1,2,1,4,2,3,.083,.000,.143,.125,,.125
468,Terry Rozier\roziete01,2015-16,21,BOS,NBA,-0.3,39,0,311,29,106,23,79,6,27,8,10,24,39,63,37,6,1,19,23,72,.274,.291,.222,.302,.800,.326
469,Greivis Vasquez\vasqugr01,2015-16,29,MIL,NBA,-0.3,23,0,460,45,138,27,65,18,73,22,26,5,42,47,91,10,0,40,42,130,.326,.415,.247,.391,.846,.435
470,Kobe Bryant\bryanko01,2015-16,37,LAL,NBA,-0.4,66,66,1863,398,1113,265,646,133,467,232,281,41,206,247,184,62,13,129,115,1161,.358,.410,.285,.417,.826,.469
471,Kendall Marshall\marshke01,2015-16,24,PHI,NBA,-0.5,30,6,400,43,118,27,69,16,49,9,13,2,26,28,73,16,2,43,30,111,.364,.391,.327,.432,.692,.449
472,Adreian Payne\paynead01,2015-16,24,MIN,NBA,-0.5,52,2,486,53,145,44,113,9,32,17,26,20,91,111,29,16,11,36,77,132,.366,.389,.281,.397,.654,.422
473,Sonny Weems\weemsso01,2015-16,29,TOT,NBA,-0.5,43,0,499,42,110,27,69,15,41,8,15,7,46,53,49,10,1,41,47,107,.382,.391,.366,.450,.533,.459
474,Rashad Vaughn\vaughra01,2015-16,19,MIL,NBA,-0.8,70,6,1001,81,266,38,119,43,147,12,15,11,77,88,39,29,16,28,73,217,.305,.319,.293,.385,.800,.398
475,Tony Wroten\wroteto01,2015-16,22,PHI,NBA,-0.8,8,3,144,22,65,19,48,3,17,20,37,2,19,21,20,3,0,29,11,67,.338,.396,.176,.362,.541,.412
476,Emmanuel Mudiay\mudiaem01,2015-16,19,DEN,NBA,-2.1,68,66,2068,329,905,255,673,74,232,140,209,32,200,232,372,65,35,217,141,872,.364,.379,.319,.404,.670,.437
