"DATE","START","VISITOR","V_PTS","HOME","H_PTS","OT","ATTENDANCE","V_DEFRTG","H_DEFRTG"
"Wed, Dec 16, 2015","8:00p","POR","90","OKC","106","nan","18,203","108.67","106.22"
"Wed, Dec 16, 2015","7:00p","CHA","98","ORL","113","nan","16,019","105.01","107.47"
"Thu, Dec 17, 2015","7:00p","TOR","99","CHA","109","OT","15,817","106.16","105.01"
"Thu, Dec 17, 2015","8:00p","OKC","100","CLE","104","nan","20,562","106.22","105.32"
"Fri, Dec 18, 2015","7:00p","BKN","97","IND","104","nan","16,548","111.6","103.51"
"Fri, Dec 18, 2015","7:00p","POR","94","ORL","102","nan","17,156","108.67","107.47"
"Fri, Dec 18, 2015","8:00p","LAC","107","SAS","115","nan","18,418","104.57","99.55"
"Sat, Dec 19, 2015","7:30p","CHI","91","NYK","107","nan","19,812","107.2","108.43"
"Sat, Dec 19, 2015","5:00p","LAL","78","OKC","118","nan","18,203","112.4","106.22"
"Sun, Dec 20, 2015","1:00p","MIN","100","BKN","85","nan","14,552","111.02","111.6"
"Sun, Dec 20, 2015","1:00p","POR","109","MIA","116","nan","19,600","108.67","105.34"
"Sun, Dec 20, 2015","6:00p","ATL","103","ORL","100","nan","16,982","102","107.47"
"Sun, Dec 20, 2015","5:00p","MIL","101","PHX","95","nan","16,859","109.65","109.8"
"Mon, Dec 21, 2015","8:00p","POR","97","ATL","106","nan","18,373","108.67","102"
"Mon, Dec 21, 2015","7:30p","MIN","99","BOS","113","nan","18,624","111.02","104.1"
"Mon, Dec 21, 2015","8:00p","CHA","95","HOU","102","nan","18,236","105.01","109.1"
"Mon, Dec 21, 2015","10:30p","OKC","100","LAC","99","nan","19,415","106.22","104.57"
"Mon, Dec 21, 2015","8:30p","IND","92","SAS","106","nan","18,418","103.51","99.55"
"Mon, Dec 21, 2015","9:00p","PHX","89","UTA","110","nan","19,911","109.8","104.78"
"Mon, Dec 21, 2015","7:00p","SAC","99","WAS","113","nan","15,124","109.07","106.48"
"Wed, Dec 23, 2015","7:30p","DAL","119","BKN","118","OT","15,994","107.48","111.6"
"Wed, Dec 23, 2015","7:00p","SAC","108","IND","106","nan","18,165","109.07","103.51"
"Wed, Dec 23, 2015","8:00p","SAS","108","MIN","83","nan","16,788","99.55","111.02"
"Fri, Dec 25, 2015","5:00p","CLE","83","GSW","89","nan","19,596","105.32","104.32"
"Fri, Dec 25, 2015","8:00p","SAS","84","HOU","88","nan","18,319","99.55","109.1"
"Fri, Dec 25, 2015","10:30p","LAC","94","LAL","84","nan","18,997","104.57","112.4"
"Fri, Dec 25, 2015","12:00p","NOP","88","MIA","94","OT","19,845","110.17","105.34"
"Sat, Dec 26, 2015","4:00p","WAS","111","BKN","96","nan","17,732","106.48","111.6"
"Sat, Dec 26, 2015","8:30p","CHI","111","DAL","118","nan","20,392","107.2","107.48"
"Sat, Dec 26, 2015","7:00p","MIA","108","ORL","101","nan","18,846","105.34","107.47"
"Sat, Dec 26, 2015","9:00p","PHI","111","PHX","104","nan","17,548","110.15","109.8"
"Sun, Dec 27, 2015","7:00p","NYK","91","BOS","100","nan","18,624","108.43","104.1"
"Sun, Dec 27, 2015","6:00p","LAL","96","MEM","112","nan","18,119","112.4","108.69"
"Sun, Dec 27, 2015","9:00p","POR","98","SAC","94","nan","17,317","108.67","109.07"
"Mon, Dec 28, 2015","8:00p","TOR","97","CHI","104","nan","21,898","106.16","107.2"
"Mon, Dec 28, 2015","7:00p","LAL","98","CHA","108","nan","19,632","112.4","105.01"
"Mon, Dec 28, 2015","8:30p","MIL","93","DAL","103","nan","20,300","109.65","107.48"
"Mon, Dec 28, 2015","7:00p","ATL","87","IND","93","nan","18,165","102","103.51"
"Mon, Dec 28, 2015","9:00p","CLE","101","PHX","97","nan","18,319","105.32","109.8"
"Mon, Dec 28, 2015","7:00p","LAC","108","WAS","91","nan","20,356","104.57","106.48"
"Tue, Dec 29, 2015","9:00p","CLE","93","DEN","87","nan","17,523","105.32","109.47"
"Tue, Dec 29, 2015","8:00p","ATL","121","HOU","115","nan","18,211","102","109.1"
"Tue, Dec 29, 2015","7:30p","DET","96","NYK","108","nan","19,812","106.19","108.43"
"Tue, Dec 29, 2015","8:00p","MIL","123","OKC","131","nan","18,203","109.65","106.22"
"Wed, Dec 30, 2015","7:30p","LAL","112","BOS","104","nan","18,624","112.4","104.1"
"Wed, Dec 30, 2015","7:00p","LAC","122","CHA","117","nan","19,145","104.57","105.01"
"Wed, Dec 30, 2015","8:30p","GSW","91","DAL","114","nan","20,494","104.32","107.48"
"Wed, Dec 30, 2015","8:00p","UTA","80","MIN","94","nan","14,326","104.78","111.02"
"Wed, Dec 30, 2015","10:00p","PHI","110","SAC","105","nan","17,317","110.15","109.07"
"Fri, Jan 1, 2016","7:30p","DAL","82","MIA","106","nan","19,748","107.48","105.34"
"Sat, Jan 2, 2016","7:00p","OKC","109","CHA","90","nan","19,387","106.22","105.01"
"Sat, Jan 2, 2016","10:30p","PHI","99","LAC","130","nan","19,212","110.15","104.57"
"Sat, Jan 2, 2016","8:00p","MIL","95","MIN","85","nan","14,107","109.65","111.02"
"Mon, Jan 4, 2016","7:30p","ORL","89","DET","115","nan","14,301","107.47","106.19"
"Mon, Jan 4, 2016","9:00p","HOU","93","UTA","91","nan","17,912","109.1","104.78"
"Tue, Jan 5, 2016","8:00p","MIL","106","CHI","117","nan","21,686","109.65","107.2"
"Wed, Jan 6, 2016","7:30p","TOR","91","BKN","74","nan","14,544","106.16","111.6"
"Wed, Jan 6, 2016","9:00p","CHA","102","PHX","111","nan","16,910","105.01","109.8"
"Fri, Jan 8, 2016","8:00p","DEN","84","MEM","91","nan","17,499","109.47","108.69"
"Fri, Jan 8, 2016","8:00p","CLE","125","MIN","99","nan","16,768","105.32","111.02"
"Fri, Jan 8, 2016","8:00p","IND","91","NOP","86","nan","16,895","103.51","110.17"
"Fri, Jan 8, 2016","9:30p","MIA","103","PHX","95","nan","16,866","105.34","109.8"
"Fri, Jan 8, 2016","10:00p","GSW","128","POR","108","nan","20,035","104.32","108.67"
"Sat, Jan 9, 2016","5:00p","CHI","105","ATL","120","nan","19,010","107.2","102"
"Sun, Jan 10, 2016","8:00p","CHA","92","DEN","95","nan","11,343","105.01","109.47"
"Sun, Jan 10, 2016","7:00p","IND","103","HOU","107","OT","18,133","103.51","109.1"
"Sun, Jan 10, 2016","9:30p","UTA","86","LAL","74","nan","18,997","104.78","112.4"
"Sun, Jan 10, 2016","6:00p","BOS","98","MEM","101","nan","17,112","104.1","108.69"
"Sun, Jan 10, 2016","5:00p","DAL","93","MIN","87","nan","14,363","107.48","111.02"
"Mon, Jan 11, 2016","8:00p","WAS","114","CHI","100","nan","21,409","106.48","107.2"
"Mon, Jan 11, 2016","10:30p","MIA","103","GSW","111","nan","19,596","105.34","104.32"
"Tue, Jan 12, 2016","8:30p","CLE","110","DAL","107","OT","20,347","105.32","107.48"
"Tue, Jan 12, 2016","7:30p","SAS","109","DET","99","nan","14,273","99.55","106.19"
"Tue, Jan 12, 2016","7:00p","PHX","97","IND","116","nan","15,284","109.8","103.51"
"Tue, Jan 12, 2016","10:30p","NOP","91","LAL","95","nan","18,997","110.17","112.4"
"Tue, Jan 12, 2016","8:00p","OKC","101","MIN","96","nan","14,791","106.22","111.02"
"Wed, Jan 13, 2016","8:00p","MIN","104","HOU","107","nan","17,115","111.02","109.1"
"Wed, Jan 13, 2016","10:30p","MIA","90","LAC","104","nan","19,194","105.34","104.57"
"Wed, Jan 13, 2016","10:00p","NOP","109","SAC","97","nan","17,317","110.17","109.07"
"Thu, Jan 14, 2016","8:00p","CLE","95","SAS","99","nan","18,418","105.32","99.55"
"Fri, Jan 15, 2016","7:30p","PHX","103","BOS","117","nan","18,624","109.8","104.1"
"Fri, Jan 15, 2016","7:30p","POR","116","BKN","104","nan","14,749","108.67","111.6"
"Fri, Jan 15, 2016","9:00p","MIA","98","DEN","95","nan","15,406","105.34","109.47"
"Fri, Jan 15, 2016","9:30p","CLE","91","HOU","77","nan","18,320","105.32","109.1"
"Fri, Jan 15, 2016","8:00p","ATL","101","MIL","108","OT","15,144","102","109.65"
"Fri, Jan 15, 2016","8:00p","CHA","107","NOP","109","nan","16,876","105.01","110.17"
"Sat, Jan 16, 2016","8:00p","NYK","95","MEM","103","nan","18,119","108.43","108.69"
"Sat, Jan 16, 2016","7:30p","POR","89","PHI","114","nan","15,698","108.67","110.15"
"Sun, Jan 17, 2016","8:00p","IND","126","DEN","129","nan","11,104","103.51","109.47"
"Mon, Jan 18, 2016","2:00p","UTA","119","CHA","124","2OT","17,459","104.78","105.01"
"Mon, Jan 18, 2016","2:00p","POR","108","WAS","98","nan","17,236","108.67","106.48"
"Tue, Jan 19, 2016","7:30p","MIL","91","MIA","79","nan","19,886","109.65","105.34"
"Tue, Jan 19, 2016","8:00p","MIN","99","NOP","114","nan","14,255","111.02","110.17"
"Thu, Jan 21, 2016","8:00p","LAC","102","CLE","115","nan","20,562","104.57","105.32"
"Thu, Jan 21, 2016","8:00p","DET","99","NOP","115","nan","15,281","106.19","110.17"
"Fri, Jan 22, 2016","7:30p","UTA","108","BKN","86","nan","12,809","104.78","111.6"
"Fri, Jan 22, 2016","8:00p","MIL","98","HOU","102","nan","17,196","109.65","109.1"
"Fri, Jan 22, 2016","7:30p","LAC","116","NYK","88","nan","19,812","104.57","108.43"
"Sat, Jan 23, 2016","9:30p","DET","101","DEN","104","nan","14,646","106.19","109.47"
"Sat, Jan 23, 2016","7:00p","MIL","99","NOP","116","nan","16,980","109.65","110.17"
"Sat, Jan 23, 2016","9:00p","ATL","95","PHX","98","nan","17,034","102","109.8"
"Mon, Jan 25, 2016","8:00p","MIA","89","CHI","84","nan","21,720","105.34","107.2"
"Mon, Jan 25, 2016","9:00p","ATL","119","DEN","105","nan","10,280","102","109.47"
"Mon, Jan 25, 2016","10:30p","SAS","90","GSW","120","nan","19,596","99.55","104.32"
"Mon, Jan 25, 2016","8:00p","ORL","102","MEM","108","OT","15,779","107.47","108.69"
"Wed, Jan 27, 2016","8:00p","LAC","85","ATL","83","nan","17,664","104.57","102"
"Wed, Jan 27, 2016","7:30p","DEN","103","BOS","111","nan","18,108","109.47","104.1"
"Thu, Jan 28, 2016","10:30p","CHI","114","LAL","91","nan","18,997","107.2","112.4"
"Thu, Jan 28, 2016","8:00p","MIL","83","MEM","103","nan","15,244","109.65","108.69"
"Thu, Jan 28, 2016","7:00p","DEN","117","WAS","113","nan","15,146","109.47","106.48"
"Fri, Jan 29, 2016","7:30p","PHX","84","NYK","102","nan","19,812","109.8","108.43"
"Sat, Jan 30, 2016","7:00p","BKN","103","NOP","105","nan","18,037","111.6","110.17"
"Sat, Jan 30, 2016","5:00p","GSW","108","PHI","105","nan","20,798","104.32","110.15"
"Sat, Jan 30, 2016","6:30p","DET","107","TOR","111","nan","19,800","106.19","106.16"
"Sun, Jan 31, 2016","7:30p","GSW","116","NYK","95","nan","19,812","104.32","108.43"
"Mon, Feb 1, 2016","8:30p","ORL","92","SAS","107","nan","18,418","107.47","99.55"
"Mon, Feb 1, 2016","9:00p","CHI","96","UTA","105","OT","18,811","107.2","104.78"
"Wed, Feb 3, 2016","10:00p","CHI","107","SAC","102","nan","17,317","107.2","109.07"
"Wed, Feb 3, 2016","8:00p","GSW","134","WAS","121","nan","20,356","104.32","106.48"
"Thu, Feb 4, 2016","9:00p","HOU","111","PHX","105","nan","15,723","109.1","109.8"
"Thu, Feb 4, 2016","10:00p","TOR","110","POR","103","nan","19,393","106.16","108.67"
"Fri, Feb 5, 2016","9:00p","MIL","81","UTA","84","nan","19,911","109.65","104.78"
"Fri, Feb 5, 2016","7:00p","PHI","94","WAS","106","nan","17,305","110.15","106.48"
"Sat, Feb 6, 2016","9:00p","OKC","108","GSW","116","nan","19,596","106.22","104.32"
"Sun, Feb 7, 2016","1:00p","DEN","101","NYK","96","nan","19,812","109.47","108.43"
"Mon, Feb 8, 2016","7:30p","DEN","104","BKN","105","nan","13,043","109.47","111.6"
"Mon, Feb 8, 2016","7:00p","SAC","100","CLE","120","nan","20,562","109.07","105.32"
"Tue, Feb 9, 2016","8:00p","SAS","119","MIA","101","nan","19,723","99.55","105.34"
"Wed, Feb 10, 2016","7:30p","LAC","134","BOS","139","OT","18,186","104.57","104.1"
"Wed, Feb 10, 2016","8:00p","LAL","111","CLE","120","nan","20,562","112.4","105.32"
"Wed, Feb 10, 2016","7:00p","CHA","117","IND","95","nan","15,653","105.01","103.51"
"Wed, Feb 10, 2016","8:00p","TOR","112","MIN","117","nan","11,171","106.16","111.02"
"Thu, Feb 18, 2016","7:00p","UTA","89","WAS","103","nan","12,415","104.78","106.48"
"Fri, Feb 19, 2016","8:00p","PHI","114","NOP","121","nan","16,953","110.15","110.17"
"Fri, Feb 19, 2016","8:00p","IND","101","OKC","98","nan","18,203","103.51","106.22"
"Fri, Feb 19, 2016","7:00p","DAL","104","ORL","110","OT","17,764","107.48","107.47"
"Fri, Feb 19, 2016","10:00p","DEN","110","SAC","116","nan","17,317","109.47","109.07"
"Fri, Feb 19, 2016","10:30p","BOS","93","UTA","111","nan","19,911","104.1","104.78"
"Sun, Feb 21, 2016","6:00p","MEM","85","TOR","98","nan","19,800","108.69","106.16"
"Mon, Feb 22, 2016","8:00p","GSW","102","ATL","92","nan","19,330","104.32","102"
"Wed, Feb 24, 2016","7:00p","NYK","105","IND","108","nan","16,018","108.43","103.51"
"Thu, Feb 25, 2016","7:00p","GSW","130","ORL","114","nan","19,189","104.32","107.47"
"Wed, Mar 2, 2016","7:30p","POR","93","BOS","116","nan","18,624","108.67","104.1"
"Wed, Mar 2, 2016","8:00p","WAS","104","MIN","98","nan","11,307","106.48","111.02"
"Sat, Mar 5, 2016","8:30p","HOU","100","CHI","108","nan","22,203","109.1","107.2"
"Sun, Mar 6, 2016","6:30p","HOU","113","TOR","107","nan","19,800","109.1","106.16"
"Wed, Mar 9, 2016","8:30p","DET","102","DAL","96","nan","20,249","106.19","107.48"
