"DATE","START","VISITOR","V_PTS","HOME","H_PTS","OT","ATTENDANCE","V_DEFRTG","H_DEFRTG"
"Thu, Nov 5, 2015","8:00p","OKC","98","CHI","104","nan","21,861","106.22","107.2"
"Thu, Nov 5, 2015","8:30p","CHA","108","DAL","94","nan","19,635","105.01","107.48"
"Thu, Nov 5, 2015","9:00p","UTA","96","DEN","84","nan","9,906","104.78","109.47"
"Thu, Nov 5, 2015","8:00p","MIA","96","MIN","84","nan","11,794","105.34","111.02"
"Thu, Nov 5, 2015","10:30p","MEM","96","POR","115","nan","19,393","108.69","108.67"
"Fri, Nov 6, 2015","7:30p","WAS","98","BOS","118","nan","18,624","106.48","104.1"
"Fri, Nov 6, 2015","7:30p","LAL","104","BKN","98","nan","17,732","112.4","111.6"
"Fri, Nov 6, 2015","10:30p","DEN","104","GSW","119","nan","19,596","109.47","104.32"
"Fri, Nov 6, 2015","8:00p","MIA","87","IND","90","nan","16,914","105.34","103.51"
"Fri, Nov 6, 2015","8:00p","ATL","121","NOP","115","nan","16,983","102","110.17"
"Fri, Nov 6, 2015","7:00p","TOR","87","ORL","92","nan","16,578","106.16","107.47"
"Fri, Nov 6, 2015","9:30p","DET","100","PHX","92","nan","16,676","106.19","109.8"
"Fri, Nov 6, 2015","10:30p","HOU","116","SAC","110","nan","16,983","109.1","109.07"
"Sat, Nov 7, 2015","7:30p","WAS","99","ATL","114","nan","18,047","106.48","102"
"Sat, Nov 7, 2015","6:00p","MIN","102","CHI","93","OT","21,988","111.02","107.2"
"Sat, Nov 7, 2015","8:30p","NOP","98","DAL","107","nan","20,454","110.17","107.48"
"Sat, Nov 7, 2015","10:30p","HOU","109","LAC","105","nan","19,361","109.1","104.57"
"Sat, Nov 7, 2015","7:00p","ORL","105","PHI","97","nan","15,207","107.47","110.15"
"Sat, Nov 7, 2015","10:00p","GSW","103","SAC","94","nan","17,317","104.32","109.07"
"Sat, Nov 7, 2015","8:30p","CHA","94","SAS","114","nan","18,418","105.01","99.55"
"Sat, Nov 7, 2015","9:00p","MEM","79","UTA","89","nan","19,456","108.69","104.78"
"Sun, Nov 8, 2015","3:30p","IND","97","CLE","101","nan","20,562","103.51","105.32"
"Sun, Nov 8, 2015","6:00p","TOR","76","MIA","96","nan","19,600","106.16","105.34"
"Sun, Nov 8, 2015","3:30p","LAL","95","NYK","99","nan","19,812","112.4","108.43"
"Sun, Nov 8, 2015","7:00p","PHX","103","OKC","124","nan","18,203","109.8","106.22"
"Sun, Nov 8, 2015","9:00p","DET","120","POR","103","nan","19,393","106.19","108.67"
"Mon, Nov 9, 2015","8:00p","MIN","117","ATL","107","nan","12,016","111.02","102"
"Mon, Nov 9, 2015","9:00p","POR","104","DEN","108","nan","9,153","108.67","109.47"
"Mon, Nov 9, 2015","10:30p","DET","95","GSW","109","nan","19,596","106.19","104.32"
"Mon, Nov 9, 2015","7:00p","ORL","84","IND","97","nan","13,104","107.47","103.51"
"Mon, Nov 9, 2015","10:30p","MEM","92","LAC","94","nan","19,060","108.69","104.57"
"Mon, Nov 9, 2015","7:00p","CHI","111","PHI","88","nan","13,879","107.2","110.15"
"Mon, Nov 9, 2015","10:00p","SAS","106","SAC","88","nan","17,317","99.55","109.07"
"Tue, Nov 10, 2015","7:00p","UTA","114","CLE","118","nan","20,562","104.78","105.32"
"Tue, Nov 10, 2015","7:30p","LAL","88","MIA","101","nan","19,825","112.4","105.34"
"Tue, Nov 10, 2015","8:00p","BOS","99","MIL","83","nan","11,822","104.1","109.65"
"Tue, Nov 10, 2015","8:00p","CHA","104","MIN","95","nan","14,722","105.01","111.02"
"Tue, Nov 10, 2015","7:30p","NYK","111","TOR","109","nan","19,800","108.43","106.16"
"Tue, Nov 10, 2015","7:00p","OKC","125","WAS","101","nan","20,356","106.22","106.48"
"Wed, Nov 11, 2015","7:00p","NYK","93","CHA","95","nan","16,643","108.43","105.01"
"Wed, Nov 11, 2015","9:00p","MIL","102","DEN","103","nan","9,403","109.65","109.47"
"Wed, Nov 11, 2015","8:00p","BKN","106","HOU","98","nan","18,155","111.6","109.1"
"Wed, Nov 11, 2015","7:00p","LAL","99","ORL","101","nan","18,846","112.4","107.47"
"Wed, Nov 11, 2015","7:00p","TOR","119","PHI","103","nan","12,744","106.16","110.15"
"Wed, Nov 11, 2015","10:30p","SAS","113","POR","101","nan","19,393","99.55","108.67"
"Wed, Nov 11, 2015","10:00p","DET","92","SAC","101","nan","17,317","106.19","109.07"
"Thu, Nov 12, 2015","7:30p","UTA","91","MIA","92","nan","19,600","104.78","105.34"
"Thu, Nov 12, 2015","8:00p","GSW","129","MIN","116","nan","16,130","104.32","111.02"
"Fri, Nov 13, 2015","7:30p","ATL","93","BOS","106","nan","17,138","102","104.1"
"Fri, Nov 13, 2015","7:00p","MIN","103","IND","107","nan","16,797","111.02","103.51"
"Fri, Nov 13, 2015","8:00p","PHI","85","OKC","102","nan","18,203","110.15","106.22"
"Fri, Nov 13, 2015","7:00p","UTA","93","ORL","102","nan","16,709","104.78","107.47"
"Fri, Nov 13, 2015","10:00p","BKN","109","SAC","111","nan","17,131","111.6","109.07"
"Fri, Nov 13, 2015","7:30p","NOP","81","TOR","100","nan","19,800","110.17","106.16"
"Sat, Nov 14, 2015","10:30p","BKN","99","GSW","107","OT","19,596","111.6","104.32"
"Sat, Nov 14, 2015","8:00p","DAL","110","HOU","98","nan","18,231","107.48","109.1"
"Sat, Nov 14, 2015","3:30p","DET","96","LAC","101","nan","19,060","106.19","104.57"
"Sat, Nov 14, 2015","8:30p","CLE","105","MIL","108","2OT","18,717","105.32","109.65"
"Sat, Nov 14, 2015","9:00p","DEN","81","PHX","105","nan","16,722","109.47","109.8"
"Sat, Nov 14, 2015","8:30p","PHI","83","SAS","92","nan","18,418","110.15","99.55"
"Sun, Nov 15, 2015","6:00p","UTA","97","ATL","96","nan","14,436","104.78","102"
"Sun, Nov 15, 2015","5:00p","POR","94","CHA","106","nan","15,317","108.67","105.01"
"Sun, Nov 15, 2015","9:30p","DET","85","LAL","97","nan","18,997","106.19","112.4"
"Sun, Nov 15, 2015","3:30p","MEM","114","MIN","106","nan","12,086","108.69","111.02"
"Sun, Nov 15, 2015","12:00p","NOP","87","NYK","95","nan","19,812","110.17","108.43"
"Sun, Nov 15, 2015","7:00p","BOS","100","OKC","85","nan","18,203","104.1","106.22"
"Sun, Nov 15, 2015","9:00p","TOR","101","SAC","107","nan","17,006","106.16","109.07"
