GAME_ID,LOCATION,W/L,DEFENSIVE_RATING,PLAYER_NAME,PLAYER_ID,POINTS,TEAM,OPPOSING_TEAM
21400768,H,L,97.0,al jefferson,2744,26,CHA,IND
21400761,A,L,101.0,al jefferson,2744,18,CHA,PHI
21400742,H,W,97.8,al jefferson,2744,6,CHA,WAS
21400719,A,W,97.8,al jefferson,2744,18,CHA,WAS
21400713,A,W,105.0,al jefferson,2744,14,CHA,DEN
21400689,A,L,97.0,al jefferson,2744,16,CHA,SAS
21400652,H,W,101.2,al jefferson,2744,8,CHA,NYK
21400643,A,L,98.7,al jefferson,2744,20,CHA,CLE
21400625,H,W,97.3,al jefferson,2744,12,CHA,MIA
21400611,H,W,106.5,al jefferson,2744,8,CHA,MIN
21400459,H,L,97.4,al jefferson,2744,6,CHA,MIL
21400444,H,L,101.4,al jefferson,2744,14,CHA,ORL
21400438,A,L,101.8,al jefferson,2744,4,CHA,OKC
21400423,A,W,97.4,al jefferson,2744,12,CHA,MIL
21400409,H,W,105.0,al jefferson,2744,20,CHA,DEN
21400395,H,W,94.9,al jefferson,2744,16,CHA,UTA
21400384,A,W,101.0,al jefferson,2744,18,CHA,PHI
21400369,H,L,103.3,al jefferson,2744,26,CHA,PHX
21400355,A,L,98.7,al jefferson,2744,14,CHA,CLE
21400341,H,L,100.9,al jefferson,2744,8,CHA,BKN
21400334,A,L,95.1,al jefferson,2744,14,CHA,MEM
21400316,H,W,101.2,al jefferson,2744,18,CHA,BOS
21400276,H,W,101.2,al jefferson,2744,14,CHA,NYK
21400263,H,L,97.8,al jefferson,2744,10,CHA,CHI
21400237,A,L,97.1,al jefferson,2744,8,CHA,ATL
21400224,H,L,99.9,al jefferson,2744,16,CHA,GSW
21400210,H,L,98.6,al jefferson,2744,18,CHA,POR
21400198,H,L,100.1,al jefferson,2744,14,CHA,LAC
21400195,A,L,97.3,al jefferson,2744,18,CHA,MIA
21400172,H,L,101.4,al jefferson,2744,22,CHA,ORL
21400160,A,L,97.0,al jefferson,2744,24,CHA,IND
21400146,H,L,102.3,al jefferson,2744,6,CHA,DAL
21400140,A,L,99.9,al jefferson,2744,16,CHA,GSW
21400130,A,W,103.3,al jefferson,2744,14,CHA,PHX
21400107,A,L,98.6,al jefferson,2744,18,CHA,POR
21400097,A,L,105.3,al jefferson,2744,20,CHA,LAL
21400071,H,W,97.1,al jefferson,2744,30,CHA,ATL
21400057,H,W,97.3,al jefferson,2744,26,CHA,MIA
21400054,A,L,98.6,al jefferson,2744,16,CHA,NOP
21400041,A,L,101.2,al jefferson,2744,18,CHA,NYK
21400028,H,L,95.1,al jefferson,2744,16,CHA,MEM
21400004,H,W,97.4,al jefferson,2744,12,CHA,MIL
21400899,A,W,100.9,cody zeller,203469,10,CHA,BKN
21400890,H,W,105.3,cody zeller,203469,8,CHA,LAL
21400882,A,W,101.4,cody zeller,203469,14,CHA,ORL
21400859,A,L,101.2,cody zeller,203469,8,CHA,BOS
21400845,A,W,97.8,cody zeller,203469,4,CHA,CHI
21400827,A,L,102.3,cody zeller,203469,0,CHA,DAL
21400816,H,L,101.8,cody zeller,203469,10,CHA,OKC
21400783,H,L,99.5,cody zeller,203469,6,CHA,DET
21400768,H,L,97.0,cody zeller,203469,2,CHA,IND
21400761,A,L,101.0,cody zeller,203469,2,CHA,PHI
21400742,H,W,97.8,cody zeller,203469,0,CHA,WAS
21400719,A,W,97.8,cody zeller,203469,2,CHA,WAS
21400713,A,W,105.0,cody zeller,203469,20,CHA,DEN
21400689,A,L,97.0,cody zeller,203469,7,CHA,SAS
21400652,H,W,101.2,cody zeller,203469,4,CHA,NYK
21400643,A,L,98.7,cody zeller,203469,4,CHA,CLE
21400625,H,W,97.3,cody zeller,203469,2,CHA,MIA
21400611,H,W,106.5,cody zeller,203469,2,CHA,MIN
21400600,H,W,97.0,cody zeller,203469,6,CHA,IND
21400574,H,L,97.0,cody zeller,203469,8,CHA,SAS
21400549,A,W,101.2,cody zeller,203469,0,CHA,NYK
21400522,H,W,98.6,cody zeller,203469,8,CHA,NOP
21400510,A,W,101.2,cody zeller,203469,16,CHA,BOS
21400495,A,W,101.4,cody zeller,203469,6,CHA,ORL
21400484,H,L,98.7,cody zeller,203469,8,CHA,CLE
21400478,A,L,100.5,cody zeller,203469,6,CHA,HOU
21400459,H,L,97.4,cody zeller,203469,4,CHA,MIL
21400444,H,L,101.4,cody zeller,203469,2,CHA,ORL
21400438,A,L,101.8,cody zeller,203469,8,CHA,OKC
21400423,A,W,97.4,cody zeller,203469,2,CHA,MIL
21400409,H,W,105.0,cody zeller,203469,8,CHA,DEN
21400395,H,W,94.9,cody zeller,203469,6,CHA,UTA
21400384,A,W,101.0,cody zeller,203469,2,CHA,PHI
21400369,H,L,103.3,cody zeller,203469,4,CHA,PHX
21400355,A,L,98.7,cody zeller,203469,2,CHA,CLE
21400341,H,L,100.9,cody zeller,203469,0,CHA,BKN
21400334,A,L,95.1,cody zeller,203469,4,CHA,MEM
21400316,H,W,101.2,cody zeller,203469,6,CHA,BOS
21400276,H,W,101.2,cody zeller,203469,4,CHA,NYK
21400263,H,L,97.8,cody zeller,203469,10,CHA,CHI
21400237,A,L,97.1,cody zeller,203469,0,CHA,ATL
21400224,H,L,99.9,cody zeller,203469,8,CHA,GSW
21400210,H,L,98.6,cody zeller,203469,8,CHA,POR
21400198,H,L,100.1,cody zeller,203469,10,CHA,LAC
21400195,A,L,97.3,cody zeller,203469,8,CHA,MIA
21400172,H,L,101.4,cody zeller,203469,2,CHA,ORL
21400160,A,L,97.0,cody zeller,203469,6,CHA,IND
21400146,H,L,102.3,cody zeller,203469,4,CHA,DAL
21400140,A,L,99.9,cody zeller,203469,2,CHA,GSW
21400130,A,W,103.3,cody zeller,203469,6,CHA,PHX
21400107,A,L,98.6,cody zeller,203469,4,CHA,POR
21400097,A,L,105.3,cody zeller,203469,4,CHA,LAL
21400071,H,W,97.1,cody zeller,203469,10,CHA,ATL
21400057,H,W,97.3,cody zeller,203469,8,CHA,MIA
21400054,A,L,98.6,cody zeller,203469,8,CHA,NOP
21400041,A,L,101.2,cody zeller,203469,6,CHA,NYK
21400028,H,L,95.1,cody zeller,203469,6,CHA,MEM
21400004,H,W,97.4,cody zeller,203469,6,CHA,MIL
21400902,H,L,105.0,gary neal,202390,13,MIN,DEN
